,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 156,MARKET 107,"2,619,795,150",,,BRAND 110,MARKET 46,"14,283,744,808"
BRAND 163,MARKET 33,"3,592,743,310",,,BRAND 111,MARKET 10,"14,138,464,110"
BRAND 164,MARKET 02,"1,563,163,248",,,BRAND 112,MARKET 03,"14,111,544,057"
BRAND 165,MARKET 28,"5,539,439,451",,,BRAND 115,MARKET 43,"13,966,671,629"
BRAND 166,MARKET 33,"4,818,146,248",,,BRAND 116,MARKET 01,"13,852,187,748"
BRAND 167,MARKET 165,"3,191,676,557",,,BRAND 117,MARKET 09,"13,772,317,942"
BRAND 168,MARKET 36,"4,488,096,828",,,BRAND 118,MARKET 92,"13,737,387,801"
BRAND 172,MARKET 62,"1,289,933,373",,,BRAND 120,MARKET 06,"13,708,686,015"
BRAND 173,MARKET 241,"4,946,470,986",,,BRAND 122,MARKET 133,"784,509,570"
BRAND 174,MARKET 17,"1,251,656,184",,,BRAND 125,MARKET 10,"13,470,423,455"
BRAND 175,MARKET 166,"4,418,161,005",,,BRAND 128,MARKET 09,"13,017,114,835"
BRAND 176,MARKET 42,"1,675,210,227",,,BRAND 129,MARKET 13,"12,822,963,536"
BRAND 177,MARKET 80,"9,405,605,966",,,BRAND 130,MARKET 44,"12,746,668,318"
BRAND 178,MARKET 04,"1,800,624,251",,,BRAND 131,MARKET 20,"12,666,914,567"
BRAND 181,MARKET 124,"1,379,699,850",,,BRAND 132,MARKET 19,"12,572,992,779"
BRAND 182,MARKET 21,"32,277,604,277",,,BRAND 133,MARKET 01,"12,563,743,909"
BRAND 184,MARKET 47,"15,444,055,994",,,BRAND 134,MARKET 193,"12,519,156,515"
BRAND 185,MARKET 58,"1,060,720,407",,,BRAND 135,MARKET 11,"12,468,066,357"
BRAND 191,MARKET 73,"1,164,219,341",,,BRAND 136,MARKET 70,"12,461,083,726"
BRAND 193,MARKET 124,"1,874,096,806",,,BRAND 138,MARKET 36,"12,418,910,182"
BRAND 195,MARKET 04,"2,730,420,205",,,BRAND 140,MARKET 105,"12,387,711,147"
BRAND 202,MARKET 149,"3,112,150,520",,,BRAND 141,MARKET 23,"12,266,941,413"
BRAND 204,MARKET 04,"6,501,457,463",,,BRAND 142,MARKET 27,"12,135,808,464"
BRAND 206,MARKET 23,"1,996,497,287",,,BRAND 144,MARKET 01,"11,971,678,757"
BRAND 207,MARKET 13,"1,305,234,458",,,BRAND 146,MARKET 183,"11,834,063,443"
BRAND 212,MARKET 29,"2,187,873,252",,,BRAND 148,MARKET 23,"11,694,145,773"
BRAND 217,MARKET 10,"6,580,529,004",,,BRAND 149,MARKET 56,"11,571,758,099"
BRAND 218,MARKET 107,"2,068,322,611",,,BRAND 150,MARKET 17,"11,493,763,918"
BRAND 221,MARKET 33,"3,856,625,646",,,BRAND 154,MARKET 19,"11,458,318,711"
BRAND 223,MARKET 04,"2,381,264,250",,,BRAND 157,MARKET 103,"11,225,980,686"
BRAND 225,MARKET 163,"4,758,729,160",,,BRAND 158,MARKET 04,"11,074,602,861"
BRAND 228,MARKET 52,"2,844,424,923",,,BRAND 159,MARKET 10,"11,041,370,008"
BRAND 230,MARKET 44,"1,119,682,952",,,BRAND 160,MARKET 33,"10,963,915,283"
BRAND 232,MARKET 06,"1,723,949,904",,,BRAND 161,MARKET 30,"10,899,954,513"
BRAND 236,MARKET 09,"1,522,889,734",,,BRAND 162,MARKET 23,"10,864,138,927"
BRAND 238,MARKET 120,"7,134,364,568",,,BRAND 169,MARKET 43,"10,468,757,369"
BRAND 241,MARKET 27,"2,727,486,644",,,BRAND 170,MARKET 08,"10,307,782,882"
BRAND 242,MARKET 21,"6,647,751,665",,,BRAND 171,MARKET 08,"10,302,716,746"
BRAND 244,MARKET 109,"1,775,652,875",,,BRAND 179,MARKET 47,"9,975,505,955"
BRAND 247,MARKET 10,"5,299,169,924",,,BRAND 180,MARKET 25,"9,956,389,647"
BRAND 248,MARKET 14,"1,795,862,705",,,BRAND 183,MARKET 29,"9,881,495,152"
BRAND 255,MARKET 119,"3,416,819,948",,,BRAND 186,MARKET 27,"9,752,505,909"
BRAND 262,MARKET 21,"10,024,312,469",,,BRAND 187,MARKET 08,"9,734,054,452"
BRAND 265,MARKET 11,"1,708,222,925",,,BRAND 188,MARKET 32,"9,721,156,273"
BRAND 266,MARKET 03,"1,487,641,434",,,BRAND 189,MARKET 94,"9,671,390,879"
BRAND 271,MARKET 143,"9,316,932,000",,,BRAND 190,MARKET 50,"9,656,135,187"
BRAND 273,MARKET 89,"1,361,159,839",,,BRAND 192,MARKET 42,"9,575,093,715"
BRAND 277,MARKET 49,"2,871,761,698",,,BRAND 194,MARKET 125,"9,507,497,252"
BRAND 282,MARKET 108,"1,357,696,704",,,BRAND 196,MARKET 04,"9,446,132,410"
BRAND 288,MARKET 15,"1,970,495,019",,,BRAND 197,MARKET 110,"9,360,259,279"
BRAND 292,MARKET 16,"1,222,608,853",,,BRAND 198,MARKET 01,"9,357,209,431"
BRAND 294,MARKET 26,"1,147,149,138",,,BRAND 199,MARKET 29,"9,356,630,012"
BRAND 295,MARKET 126,"11,119,219,386",,,BRAND 200,MARKET 27,"9,182,712,029"
BRAND 297,MARKET 01,"4,812,898,062",,,BRAND 201,MARKET 180,"9,166,122,000"
BRAND 298,MARKET 14,"1,914,550,482",,,BRAND 203,MARKET 24,"9,119,575,568"
BRAND 299,MARKET 08,"6,303,577,502",,,BRAND 205,MARKET 02,"9,064,186,835"
BRAND 300,MARKET 11,"2,580,607,185",,,BRAND 208,MARKET 156,"8,967,291,192"
BRAND 301,MARKET 47,"1,682,009,992",,,BRAND 209,MARKET 13,"8,951,432,108"
BRAND 303,MARKET 44,"2,486,719,534",,,BRAND 210,MARKET 177,"8,919,145,605"
BRAND 305,MARKET 31,"2,036,842,080",,,BRAND 211,MARKET 13,"8,909,914,604"
BRAND 310,MARKET 15,"3,037,349,765",,,BRAND 213,MARKET 08,"8,868,817,859"
BRAND 314,MARKET 39,"1,921,585,267",,,BRAND 214,MARKET 94,"8,855,872,413"
BRAND 315,MARKET 50,"5,214,416,155",,,BRAND 215,MARKET 03,"8,834,466,416"
BRAND 317,MARKET 17,"4,383,475,939",,,BRAND 216,MARKET 168,"8,822,542,254"
BRAND 318,MARKET 27,"7,287,288,427",,,BRAND 219,MARKET 23,"8,814,337,732"
BRAND 319,MARKET 08,"1,729,311,528",,,BRAND 220,MARKET 19,"8,786,969,122"
BRAND 322,MARKET 84,"4,753,754,317",,,BRAND 222,MARKET 88,"8,774,038,382"
BRAND 324,MARKET 17,"1,764,480,891",,,BRAND 224,MARKET 18,"8,700,964,552"
BRAND 327,MARKET 14,"1,408,854,756",,,BRAND 226,MARKET 10,"8,678,207,673"
BRAND 331,MARKET 03,"16,850,123,099",,,BRAND 227,MARKET 13,"8,654,533,983"
BRAND 332,MARKET 03,"1,395,576,226",,,BRAND 229,MARKET 35,"8,621,174,527"
BRAND 333,MARKET 27,"2,217,731,565",,,BRAND 231,MARKET 24,"8,554,471,358"
BRAND 336,MARKET 20,"1,310,946,931",,,BRAND 233,MARKET 04,"8,468,578,775"
BRAND 340,MARKET 52,"3,375,308,160",,,BRAND 234,MARKET 08,"8,455,261,994"
BRAND 349,MARKET 30,"3,079,719,520",,,BRAND 235,MARKET 25,"8,453,977,041"
BRAND 353,MARKET 21,"1,159,704,000",,,BRAND 237,MARKET 28,"8,342,119,970"
BRAND 355,MARKET 40,"3,228,504,839",,,BRAND 239,MARKET 95,"8,310,424,985"
BRAND 357,MARKET 53,"2,325,219,595",,,BRAND 240,MARKET 154,"8,290,019,207"
BRAND 361,MARKET 26,"2,594,135,514",,,BRAND 243,MARKET 01,"8,190,309,632"
BRAND 362,MARKET 41,"4,538,056,726",,,BRAND 245,MARKET 113,"8,181,950,571"
BRAND 363,MARKET 15,"4,286,461,056",,,BRAND 246,MARKET 17,"8,178,558,711"
BRAND 366,MARKET 17,"2,001,326,461",,,BRAND 249,MARKET 03,"8,117,376,240"
BRAND 367,MARKET 51,"1,101,243,109",,,BRAND 250,MARKET 23,"8,045,640,630"
BRAND 369,MARKET 01,"2,567,100,940",,,BRAND 251,MARKET 40,"8,009,259,877"
BRAND 373,MARKET 110,"1,306,404,360",,,BRAND 252,MARKET 44,"8,008,929,341"
BRAND 384,MARKET 32,"1,326,106,581",,,BRAND 253,MARKET 48,"7,987,460,041"
BRAND 387,MARKET 01,"3,228,542,423",,,BRAND 254,MARKET 55,"7,906,600,895"
BRAND 388,MARKET 43,"5,415,674,971",,,BRAND 256,MARKET 09,"7,730,807,118"
BRAND 392,MARKET 27,"4,807,538,887",,,BRAND 257,MARKET 114,"7,680,178,200"
BRAND 395,MARKET 58,"2,105,087,711",,,BRAND 258,MARKET 92,"7,669,880,702"
BRAND 397,MARKET 110,"3,967,132,336",,,BRAND 259,MARKET 38,"7,657,570,122"
BRAND 401,MARKET 01,"1,250,400,968",,,BRAND 260,MARKET 09,"4,311,894,101"
BRAND 403,MARKET 59,"4,689,307,995",,,BRAND 261,MARKET 48,"3,345,412,888"
BRAND 414,MARKET 31,"3,006,838,152",,,BRAND 263,MARKET 126,"7,612,402,704"
BRAND 421,MARKET 52,"2,215,141,412",,,BRAND 264,MARKET 70,"7,595,828,996"
BRAND 426,MARKET 36,"3,023,032,320",,,BRAND 267,MARKET 08,"7,400,103,529"
BRAND 427,MARKET 04,"5,323,858,164",,,BRAND 268,MARKET 122,"7,374,895,676"
BRAND 428,MARKET 31,"1,397,975,040",,,BRAND 269,MARKET 13,"7,358,724,689"
BRAND 433,MARKET 135,"2,122,550,711",,,BRAND 270,MARKET 03,"7,358,271,917"
BRAND 440,MARKET 129,"3,028,342,257",,,BRAND 272,MARKET 21,"7,339,392,211"
BRAND 441,MARKET 10,"1,002,864,209",,,BRAND 274,MARKET 18,"847,875,766"
BRAND 446,MARKET 09,"1,064,874,727",,,BRAND 275,MARKET 112,"7,304,505,573"
BRAND 447,MARKET 31,"1,862,105,212",,,BRAND 276,MARKET 09,"7,289,872,757"
BRAND 448,MARKET 19,"3,313,910,358",,,BRAND 278,MARKET 08,"7,256,989,553"
BRAND 449,MARKET 175,"4,264,922,519",,,BRAND 279,MARKET 01,"7,237,992,648"
BRAND 453,MARKET 25,"1,917,131,040",,,BRAND 280,MARKET 27,"7,233,998,338"
BRAND 462,MARKET 96,"7,162,117,477",,,BRAND 281,MARKET 190,"7,233,627,329"
BRAND 468,MARKET 01,"1,466,102,016",,,BRAND 283,MARKET 80,"7,195,320,561"
BRAND 477,MARKET 42,"2,047,084,113",,,BRAND 284,MARKET 141,"7,176,166,864"
BRAND 478,MARKET 32,"1,978,692,451",,,BRAND 285,MARKET 33,"7,175,661,233"
BRAND 479,MARKET 112,"1,459,830,243",,,BRAND 286,MARKET 59,"7,128,050,417"
BRAND 480,MARKET 174,"1,649,691,109",,,BRAND 287,MARKET 02,"7,122,205,615"
BRAND 481,MARKET 148,"3,646,821,955",,,BRAND 289,MARKET 08,"7,092,901,286"
BRAND 482,MARKET 01,"1,044,960,340",,,BRAND 290,MARKET 75,"7,079,329,648"
BRAND 485,MARKET 237,"2,915,606,373",,,BRAND 291,MARKET 60,"7,066,199,624"
BRAND 488,MARKET 01,"2,886,796,128",,,BRAND 293,MARKET 13,"7,061,056,418"
BRAND 490,MARKET 33,"1,480,142,122",,,BRAND 296,MARKET 03,"6,930,992,692"
BRAND 501,MARKET 120,"1,024,715,245",,,BRAND 302,MARKET 127,"6,792,962,436"
BRAND 506,MARKET 81,"1,700,887,200",,,BRAND 304,MARKET 09,"6,747,044,134"
BRAND 507,MARKET 32,"4,371,000,981",,,BRAND 306,MARKET 77,"6,710,207,904"
BRAND 513,MARKET 01,"1,214,022,593",,,BRAND 307,MARKET 53,"6,686,691,045"
BRAND 517,MARKET 31,"1,400,083,627",,,BRAND 308,MARKET 09,"6,671,314,860"
BRAND 518,MARKET 72,"1,171,790,895",,,BRAND 309,MARKET 08,"6,658,083,915"
BRAND 519,MARKET 31,"2,334,870,552",,,BRAND 311,MARKET 37,"6,613,303,402"
BRAND 521,MARKET 80,"2,806,754,054",,,BRAND 312,MARKET 08,"6,604,912,933"
BRAND 522,MARKET 09,"1,155,226,719",,,BRAND 313,MARKET 142,"6,592,164,300"
BRAND 524,MARKET 06,"1,210,315,622",,,BRAND 316,MARKET 09,"6,530,502,311"
BRAND 527,MARKET 15,"4,628,755,241",,,BRAND 320,MARKET 08,"6,503,347,659"
BRAND 528,MARKET 27,"1,176,514,493",,,BRAND 321,MARKET 102,"6,493,718,188"
BRAND 534,MARKET 125,"3,687,190,173",,,BRAND 323,MARKET 01,"6,447,367,080"
BRAND 535,MARKET 04,"2,151,839,258",,,BRAND 325,MARKET 01,"6,429,425,073"
BRAND 546,MARKET 23,"1,620,592,511",,,BRAND 326,MARKET 84,"6,402,782,830"
BRAND 550,MARKET 14,"3,399,217,552",,,BRAND 328,MARKET 39,"6,266,910,549"
BRAND 560,MARKET 03,"1,251,991,574",,,BRAND 329,MARKET 232,"6,262,729,936"
BRAND 563,MARKET 140,"1,044,767,678",,,BRAND 330,MARKET 09,"6,243,337,478"
BRAND 566,MARKET 09,"3,834,772,432",,,BRAND 334,MARKET 71,"6,207,514,024"
