,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 11731,MARKET 11,"10,689,501",,,BRAND 1826,MARKET 23,"1,019,302,040"
BRAND 11732,MARKET 35,"8,569,490",,,BRAND 1827,MARKET 13,"1,018,933,215"
BRAND 11733,MARKET 75,"12,063,200",,,BRAND 1829,MARKET 32,"1,016,773,765"
BRAND 11734,MARKET 09,"74,495,960",,,BRAND 1830,MARKET 131,"1,016,074,400"
BRAND 11736,MARKET 48,"31,341,679",,,BRAND 1831,MARKET 09,"1,015,854,925"
BRAND 11737,MARKET 08,"78,533,078",,,BRAND 1832,MARKET 03,"1,015,389,248"
BRAND 11738,MARKET 52,"5,135,832",,,BRAND 1833,MARKET 15,"1,014,302,567"
BRAND 11740,MARKET 09,"12,698,996",,,BRAND 1834,MARKET 102,"1,013,127,046"
BRAND 11741,MARKET 128,"52,210,649",,,BRAND 1835,MARKET 11,"1,013,055,914"
BRAND 11744,MARKET 126,"22,045,041",,,BRAND 1836,MARKET 53,"1,012,854,102"
BRAND 11745,MARKET 09,"247,458,960",,,BRAND 1837,MARKET 08,"692,770,510"
BRAND 11747,MARKET 133,"3,589,110",,,BRAND 1838,MARKET 34,"280,973,755"
BRAND 11748,MARKET 10,"57,839,443",,,BRAND 1839,MARKET 99,"37,975,371"
BRAND 11751,MARKET 30,"7,315,380",,,BRAND 1840,MARKET 08,"1,009,635,343"
BRAND 11752,MARKET 09,"491,552,832",,,BRAND 1841,MARKET 35,"1,007,342,854"
BRAND 11753,MARKET 31,"85,055,607",,,BRAND 1842,MARKET 99,"1,006,994,593"
BRAND 11754,MARKET 09,"66,844,721",,,BRAND 1843,MARKET 25,"1,005,436,246"
BRAND 11756,MARKET 09,"102,794,342",,,BRAND 1844,MARKET 23,"1,003,740,930"
BRAND 11757,MARKET 09,"103,616,670",,,BRAND 1845,MARKET 03,"1,003,158,562"
BRAND 11758,MARKET 92,"9,658,440",,,BRAND 1846,MARKET 39,"1,002,904,959"
BRAND 11760,MARKET 23,"226,300,800",,,BRAND 1848,MARKET 88,"1,001,454,931"
BRAND 11761,MARKET 08,"654,185,756",,,BRAND 1849,MARKET 35,"1,000,448,465"
BRAND 11762,MARKET 38,"20,605,700",,,BRAND 1850,MARKET 23,"999,493,844"
BRAND 11764,MARKET 136,"10,887,005",,,BRAND 1851,MARKET 170,"999,190,643"
BRAND 11765,MARKET 08,"134,049,742",,,BRAND 1852,MARKET 09,"998,215,236"
BRAND 11767,MARKET 35,"44,592,911",,,BRAND 1853,MARKET 72,"997,529,139"
BRAND 11768,MARKET 15,"460,303,560",,,BRAND 1854,MARKET 179,"996,896,878"
BRAND 11771,MARKET 23,"120,154,728",,,BRAND 1855,MARKET 53,"996,596,128"
BRAND 11773,MARKET 13,"126,697,242",,,BRAND 1856,MARKET 72,"996,564,589"
BRAND 11774,MARKET 23,"78,589,560",,,BRAND 1857,MARKET 09,"996,415,125"
BRAND 11775,MARKET 40,"55,413,954",,,BRAND 1858,MARKET 29,"996,005,595"
BRAND 11776,MARKET 48,"31,935,052",,,BRAND 1859,MARKET 63,"996,000,494"
BRAND 11777,MARKET 09,"364,899,830",,,BRAND 1860,MARKET 13,"993,749,036"
BRAND 11778,MARKET 09,"215,001,865",,,BRAND 1861,MARKET 33,"993,406,470"
BRAND 11782,MARKET 89,"18,403,767",,,BRAND 1862,MARKET 35,"992,661,036"
BRAND 11783,MARKET 118,"7,898,272",,,BRAND 1863,MARKET 13,"992,600,521"
BRAND 11784,MARKET 09,"15,028,082",,,BRAND 1864,MARKET 11,"992,468,358"
BRAND 11785,MARKET 08,"96,432,339",,,BRAND 1865,MARKET 13,"992,426,181"
BRAND 11786,MARKET 09,"16,265,540",,,BRAND 1866,MARKET 72,"991,124,921"
BRAND 11787,MARKET 08,"1,059,674,400",,,BRAND 1867,MARKET 18,"990,517,128"
BRAND 11788,MARKET 08,"3,421,880",,,BRAND 1868,MARKET 09,"990,368,824"
BRAND 11790,MARKET 112,"51,666,059",,,BRAND 1869,MARKET 09,"989,477,955"
BRAND 11791,MARKET 23,"306,424,005",,,BRAND 1870,MARKET 03,"989,316,219"
BRAND 11792,MARKET 23,"47,085,805",,,BRAND 1871,MARKET 102,"989,288,136"
BRAND 11793,MARKET 23,"61,976,104",,,BRAND 1872,MARKET 18,"988,047,684"
BRAND 11794,MARKET 11,"549,890,600",,,BRAND 1873,MARKET 35,"985,884,264"
BRAND 11795,MARKET 11,"51,524,325",,,BRAND 1874,MARKET 08,"984,824,359"
BRAND 11796,MARKET 106,"112,519,680",,,BRAND 1875,MARKET 08,"981,330,671"
BRAND 11799,MARKET 09,"28,883,352",,,BRAND 1877,MARKET 31,"980,520,897"
BRAND 11800,MARKET 115,"1,846,796",,,BRAND 1878,MARKET 46,"979,856,633"
BRAND 11802,MARKET 42,"306,841,181",,,BRAND 1879,MARKET 26,"979,812,485"
BRAND 11803,MARKET 31,"400,888,950",,,BRAND 1880,MARKET 01,"979,537,911"
BRAND 11804,MARKET 31,"17,744,775",,,BRAND 1881,MARKET 33,"979,470,425"
BRAND 11806,MARKET 31,"20,326,027",,,BRAND 1882,MARKET 27,"978,046,245"
BRAND 11807,MARKET 31,"793,570,412",,,BRAND 1883,MARKET 13,"977,443,076"
BRAND 11808,MARKET 31,"1,949,494,467",,,BRAND 1884,MARKET 09,"971,822,748"
BRAND 11810,MARKET 115,"26,258,439",,,BRAND 1885,MARKET 09,"971,292,497"
BRAND 11811,MARKET 115,"239,285,642",,,BRAND 1886,MARKET 73,"970,770,391"
BRAND 11812,MARKET 11,"67,474,281",,,BRAND 1887,MARKET 106,"970,675,805"
BRAND 11813,MARKET 03,"1,860,756",,,BRAND 1888,MARKET 03,"968,702,988"
BRAND 11815,MARKET 11,"12,338,154",,,BRAND 1889,MARKET 13,"967,803,025"
BRAND 11817,MARKET 88,"281,067,878",,,BRAND 1890,MARKET 156,"967,749,505"
BRAND 11820,MARKET 52,"30,286,170",,,BRAND 1891,MARKET 30,"965,388,312"
BRAND 11821,MARKET 23,"134,610,482",,,BRAND 1892,MARKET 23,"965,320,454"
BRAND 11823,MARKET 33,"52,568,896",,,BRAND 1893,MARKET 10,"965,297,280"
BRAND 11824,MARKET 101,"95,928,325",,,BRAND 1894,MARKET 101,"965,257,860"
BRAND 11826,MARKET 08,"181,968,000",,,BRAND 1895,MARKET 15,"965,128,622"
BRAND 11828,MARKET 75,"36,810,778",,,BRAND 1896,MARKET 11,"965,066,442"
BRAND 11829,MARKET 10,"34,621,884",,,BRAND 1897,MARKET 35,"964,216,199"
BRAND 11831,MARKET 181,"152,218,030",,,BRAND 1898,MARKET 27,"964,198,005"
BRAND 11832,MARKET 11,"58,666,707",,,BRAND 1899,MARKET 34,"964,004,801"
BRAND 11833,MARKET 08,"123,786,000",,,BRAND 1900,MARKET 89,"962,548,378"
BRAND 11834,MARKET 03,"3,136,123",,,BRAND 1901,MARKET 126,"962,413,460"
BRAND 11835,MARKET 03,"323,298,653",,,BRAND 1902,MARKET 27,"961,383,852"
BRAND 11836,MARKET 71,"95,780,125",,,BRAND 1903,MARKET 57,"961,206,166"
BRAND 11838,MARKET 115,"34,621,884",,,BRAND 1904,MARKET 23,"960,700,485"
BRAND 11839,MARKET 115,"996,644,255",,,BRAND 1905,MARKET 126,"960,672,432"
BRAND 11840,MARKET 106,"102,044,166",,,BRAND 1906,MARKET 98,"959,974,168"
BRAND 11841,MARKET 01,"277,127,878",,,BRAND 1907,MARKET 148,"959,309,758"
BRAND 11842,MARKET 08,"10,760,688",,,BRAND 1908,MARKET 25,"959,177,695"
BRAND 11843,MARKET 34,"37,827,921",,,BRAND 1909,MARKET 123,"958,902,452"
BRAND 11844,MARKET 08,"4,511,603",,,BRAND 1910,MARKET 03,"958,789,306"
BRAND 11845,MARKET 08,"178,310,513",,,BRAND 1911,MARKET 23,"958,763,700"
BRAND 11846,MARKET 08,"97,572,608",,,BRAND 1912,MARKET 80,"958,730,850"
BRAND 11848,MARKET 08,"12,644,752",,,BRAND 1913,MARKET 11,"958,280,102"
BRAND 11850,MARKET 08,"42,948,360",,,BRAND 1914,MARKET 08,"957,916,101"
BRAND 11851,MARKET 08,"889,135,362",,,BRAND 1915,MARKET 31,"957,453,822"
BRAND 11852,MARKET 174,"102,468,727",,,BRAND 1916,MARKET 100,"956,897,399"
BRAND 11854,MARKET 15,"849,237,875",,,BRAND 1917,MARKET 125,"956,062,691"
BRAND 11855,MARKET 55,"32,496,600",,,BRAND 1918,MARKET 09,"954,165,422"
BRAND 11856,MARKET 10,"2,584,312",,,BRAND 1919,MARKET 09,"953,950,871"
BRAND 11859,MARKET 09,"395,125,682",,,BRAND 1920,MARKET 03,"952,153,617"
BRAND 11860,MARKET 23,"14,455,448",,,BRAND 1921,MARKET 103,"951,739,494"
BRAND 11862,MARKET 13,"29,656,973",,,BRAND 1922,MARKET 89,"949,885,427"
BRAND 11863,MARKET 08,"43,238,304",,,BRAND 1923,MARKET 08,"949,626,636"
BRAND 11864,MARKET 10,"719,623,594",,,BRAND 1924,MARKET 03,"948,243,965"
BRAND 11865,MARKET 17,"51,714,784",,,BRAND 1925,MARKET 31,"948,013,784"
BRAND 11866,MARKET 15,"7,314,090",,,BRAND 1926,MARKET 23,"948,003,812"
BRAND 11869,MARKET 39,"13,457,115",,,BRAND 1927,MARKET 32,"946,958,760"
BRAND 11871,MARKET 11,"341,441,001",,,BRAND 1928,MARKET 23,"946,840,149"
BRAND 11872,MARKET 03,"26,416,218",,,BRAND 1929,MARKET 15,"945,701,894"
BRAND 11875,MARKET 30,"105,583,889",,,BRAND 1930,MARKET 37,"944,402,278"
BRAND 11876,MARKET 37,"38,113,098",,,BRAND 1931,MARKET 32,"942,995,387"
BRAND 11878,MARKET 67,"38,559,629",,,BRAND 1932,MARKET 72,"942,431,714"
BRAND 11879,MARKET 09,"1,054,085",,,BRAND 1933,MARKET 13,"941,879,664"
BRAND 11880,MARKET 53,"31,302,197",,,BRAND 1934,MARKET 23,"941,142,358"
BRAND 11881,MARKET 156,"410,115,874",,,BRAND 1935,MARKET 49,"940,510,687"
BRAND 11884,MARKET 09,"21,111,238",,,BRAND 1936,MARKET 23,"940,317,009"
BRAND 11885,MARKET 09,"10,375,919",,,BRAND 1937,MARKET 10,"940,004,083"
BRAND 11886,MARKET 09,"21,111,238",,,BRAND 1938,MARKET 33,"939,535,968"
BRAND 11887,MARKET 32,"27,543,370",,,BRAND 1939,MARKET 29,"939,100,467"
BRAND 11888,MARKET 37,"22,888,343",,,BRAND 1940,MARKET 206,"938,625,844"
BRAND 11889,MARKET 76,"9,071,235",,,BRAND 1941,MARKET 27,"938,523,731"
BRAND 11890,MARKET 37,"206,900,304",,,BRAND 1942,MARKET 08,"937,463,294"
BRAND 11892,MARKET 08,"61,783,177",,,BRAND 1943,MARKET 25,"937,462,873"
BRAND 11894,MARKET 52,"4,655,011",,,BRAND 1944,MARKET 04,"937,292,249"
BRAND 11895,MARKET 08,"68,512,860",,,BRAND 1945,MARKET 25,"595,297,702"
BRAND 11896,MARKET 08,"3,654,858",,,BRAND 1946,MARKET 78,"341,962,030"
BRAND 11897,MARKET 156,"68,880,629",,,BRAND 1947,MARKET 42,"936,975,472"
BRAND 11898,MARKET 37,"96,837,537",,,BRAND 1948,MARKET 37,"935,646,590"
BRAND 11899,MARKET 32,"14,604,106",,,BRAND 1949,MARKET 58,"935,588,487"
BRAND 11901,MARKET 23,"52,387,552",,,BRAND 1951,MARKET 10,"933,378,152"
BRAND 11904,MARKET 123,"314,292,243",,,BRAND 1952,MARKET 15,"933,027,200"
BRAND 11905,MARKET 33,"18,876,731",,,BRAND 1953,MARKET 96,"932,348,416"
BRAND 11906,MARKET 31,"191,036,910",,,BRAND 1954,MARKET 53,"517,969,347"
BRAND 11907,MARKET 94,"118,298,400",,,BRAND 1955,MARKET 33,"413,269,023"
BRAND 11908,MARKET 11,"4,335,517",,,BRAND 1956,MARKET 35,"931,192,356"
BRAND 11909,MARKET 23,"9,004,535",,,BRAND 1957,MARKET 25,"931,161,223"
BRAND 11911,MARKET 11,"142,404,534",,,BRAND 1958,MARKET 06,"930,971,217"
BRAND 11912,MARKET 10,"45,260,565",,,BRAND 1959,MARKET 74,"930,383,711"
BRAND 11913,MARKET 27,"12,376,810",,,BRAND 1960,MARKET 158,"930,075,283"
BRAND 11918,MARKET 31,"94,795,384",,,BRAND 1961,MARKET 164,"927,898,347"
BRAND 11919,MARKET 30,"33,973,272",,,BRAND 1962,MARKET 93,"927,121,378"
BRAND 11920,MARKET 10,"587,978,223",,,BRAND 1963,MARKET 13,"926,104,007"
BRAND 11922,MARKET 09,"280,964,066",,,BRAND 1964,MARKET 15,"925,195,208"
BRAND 11924,MARKET 99,"46,783,285",,,BRAND 1965,MARKET 70,"923,395,331"
BRAND 11925,MARKET 48,"2,766,061",,,BRAND 1966,MARKET 93,"922,110,760"
BRAND 11932,MARKET 48,"1,745,372",,,BRAND 1967,MARKET 33,"921,409,338"
BRAND 11933,MARKET 48,"20,398,652",,,BRAND 1968,MARKET 72,"921,166,851"
BRAND 11934,MARKET 52,"27,032,792",,,BRAND 1969,MARKET 13,"919,291,928"
BRAND 11935,MARKET 09,"56,897,487",,,BRAND 1970,MARKET 104,"919,033,500"
BRAND 11937,MARKET 37,"715,380",,,BRAND 1971,MARKET 04,"918,707,523"
BRAND 11938,MARKET 09,"575,126,702",,,BRAND 1972,MARKET 03,"918,398,097"
BRAND 11939,MARKET 09,"12,330,384",,,BRAND 1973,MARKET 131,"918,280,595"
BRAND 11940,MARKET 27,"771,985,805",,,BRAND 1974,MARKET 15,"917,849,957"
BRAND 11941,MARKET 15,"21,998,827",,,BRAND 1975,MARKET 112,"917,040,326"
BRAND 11942,MARKET 10,"29,883,399",,,BRAND 1976,MARKET 09,"916,731,336"
BRAND 11944,MARKET 10,"10,624,350",,,BRAND 1977,MARKET 27,"915,982,612"
BRAND 11945,MARKET 08,"254,288,685",,,BRAND 1978,MARKET 08,"914,951,090"
BRAND 11946,MARKET 09,"178,220,061",,,BRAND 1979,MARKET 03,"914,902,326"
BRAND 11948,MARKET 31,"286,912,182",,,BRAND 1980,MARKET 11,"914,847,210"
BRAND 11949,MARKET 08,"155,936,999",,,BRAND 1981,MARKET 30,"474,312,557"
BRAND 11951,MARKET 10,"221,542,857",,,BRAND 1982,MARKET 33,"440,447,207"
BRAND 11952,MARKET 15,"173,417,169",,,BRAND 1983,MARKET 42,"914,068,499"
BRAND 11953,MARKET 11,"126,987,238",,,BRAND 1984,MARKET 11,"913,672,855"
BRAND 11954,MARKET 08,"18,133,500",,,BRAND 1985,MARKET 13,"911,386,393"
BRAND 11957,MARKET 09,"6,310,285",,,BRAND 1986,MARKET 31,"911,054,301"
BRAND 11958,MARKET 32,"31,467,557",,,BRAND 1987,MARKET 27,"909,786,397"
BRAND 11959,MARKET 27,"247,067,950",,,BRAND 1988,MARKET 15,"909,781,682"
BRAND 11960,MARKET 10,"70,642,820",,,BRAND 1989,MARKET 100,"908,850,740"
BRAND 11961,MARKET 27,"71,630,523",,,BRAND 1990,MARKET 112,"907,455,022"
BRAND 11963,MARKET 32,"85,404,805",,,BRAND 1991,MARKET 29,"907,451,458"
BRAND 11966,MARKET 62,"408,395,167",,,BRAND 1992,MARKET 08,"907,303,523"
BRAND 11968,MARKET 93,"224,863,230",,,BRAND 1993,MARKET 237,"906,251,136"
BRAND 11969,MARKET 09,"145,792,548",,,BRAND 1994,MARKET 170,"906,230,174"
BRAND 11971,MARKET 09,"434,429,082",,,BRAND 1995,MARKET 123,"905,293,666"
BRAND 11972,MARKET 09,"510,059,180",,,BRAND 1996,MARKET 23,"905,139,358"
BRAND 11973,MARKET 09,"14,007,055",,,BRAND 1997,MARKET 34,"903,966,030"
BRAND 11974,MARKET 35,"12,825,735",,,BRAND 1998,MARKET 11,"903,066,774"
BRAND 11977,MARKET 75,"67,309,704",,,BRAND 1999,MARKET 26,"902,009,045"
BRAND 11979,MARKET 10,"55,132,812",,,BRAND 2000,MARKET 55,"901,797,300"
BRAND 11980,MARKET 08,"339,715,800",,,BRAND 2001,MARKET 55,"900,558,058"
BRAND 11982,MARKET 102,"29,264,768",,,BRAND 2002,MARKET 15,"900,519,552"
BRAND 11983,MARKET 09,"108,054,960",,,BRAND 2003,MARKET 78,"899,830,490"
BRAND 11984,MARKET 30,"12,366,320",,,BRAND 2004,MARKET 11,"899,638,621"
BRAND 11987,MARKET 174,"206,603,892",,,BRAND 2005,MARKET 194,"898,292,362"
BRAND 11988,MARKET 09,"9,240,000",,,BRAND 2006,MARKET 100,"898,200,439"
BRAND 11989,MARKET 09,"14,441,676",,,BRAND 2007,MARKET 13,"897,587,700"
BRAND 11990,MARKET 09,"88,969,277",,,BRAND 2008,MARKET 08,"895,704,413"
BRAND 11991,MARKET 34,"29,027,310",,,BRAND 2009,MARKET 159,"895,703,969"
BRAND 11993,MARKET 09,"88,084,476",,,BRAND 2010,MARKET 120,"895,500,324"
BRAND 11994,MARKET 06,"532,408,744",,,BRAND 2011,MARKET 37,"895,362,289"
BRAND 11997,MARKET 102,"647,287,620",,,BRAND 2012,MARKET 170,"870,394,176"
BRAND 11998,MARKET 102,"267,773,940",,,BRAND 2013,MARKET 13,"22,353,408"
BRAND 11999,MARKET 31,"40,269,859",,,BRAND 2014,MARKET 78,"891,065,827"
BRAND 12001,MARKET 181,"127,237,270",,,BRAND 2015,MARKET 32,"890,483,047"
BRAND 12004,MARKET 30,"32,119,296",,,BRAND 2016,MARKET 42,"890,449,045"
BRAND 12006,MARKET 35,"20,549,206",,,BRAND 2017,MARKET 18,"890,302,796"
BRAND 12008,MARKET 10,"439,384,043",,,BRAND 2018,MARKET 55,"890,166,212"
BRAND 12009,MARKET 10,"691,745,274",,,BRAND 2019,MARKET 39,"888,689,356"
BRAND 12011,MARKET 23,"102,170,363",,,BRAND 2020,MARKET 55,"888,616,960"
BRAND 12012,MARKET 23,"409,049,784",,,BRAND 2021,MARKET 88,"888,137,820"
BRAND 12013,MARKET 23,"363,602,810",,,BRAND 2022,MARKET 58,"887,872,129"
BRAND 12014,MARKET 23,"526,563,656",,,BRAND 2023,MARKET 93,"887,585,862"
BRAND 12015,MARKET 23,"28,440,720",,,BRAND 2024,MARKET 112,"886,635,710"
BRAND 12016,MARKET 88,"38,134,740",,,BRAND 2026,MARKET 10,"884,718,276"
BRAND 12017,MARKET 174,"25,123,493",,,BRAND 2027,MARKET 08,"883,348,833"
BRAND 12018,MARKET 40,"93,155,310",,,BRAND 2028,MARKET 99,"882,671,221"
BRAND 12019,MARKET 08,"1,064,818,405",,,BRAND 2029,MARKET 55,"882,449,866"
BRAND 12020,MARKET 10,"151,258,423",,,BRAND 2030,MARKET 10,"881,584,282"
BRAND 12021,MARKET 128,"191,352,200",,,BRAND 2031,MARKET 173,"880,111,200"
BRAND 12022,MARKET 18,"224,838,809",,,BRAND 2032,MARKET 08,"879,731,552"
BRAND 12023,MARKET 55,"25,807,370",,,BRAND 2033,MARKET 48,"878,797,524"
BRAND 12024,MARKET 17,"93,493,285",,,BRAND 2034,MARKET 26,"878,793,159"
BRAND 12025,MARKET 35,"118,087,750",,,BRAND 2035,MARKET 90,"878,639,750"
BRAND 12027,MARKET 72,"24,471,548",,,BRAND 2036,MARKET 08,"877,952,340"
BRAND 12028,MARKET 88,"2,605,663,079",,,BRAND 2037,MARKET 13,"877,944,147"
BRAND 12029,MARKET 23,"60,638,490",,,BRAND 2038,MARKET 88,"876,043,696"
BRAND 12030,MARKET 102,"4,039,864",,,BRAND 2039,MARKET 106,"875,815,226"
BRAND 12031,MARKET 94,"360,504,000",,,BRAND 2040,MARKET 13,"874,077,152"
BRAND 12032,MARKET 03,"100,117,228",,,BRAND 2041,MARKET 90,"872,813,234"
BRAND 12033,MARKET 75,"1,371,450,185",,,BRAND 2042,MARKET 13,"872,645,075"
BRAND 12034,MARKET 52,"487,822,140",,,BRAND 2043,MARKET 53,"872,613,857"
 Grand Total,,"1,592,075,672,831",,,BRAND 2044,MARKET 33,"871,470,949"
,,,,,BRAND 2045,MARKET 50,"871,016,467"
,,,,,BRAND 2046,MARKET 20,"870,903,880"
,,,,,BRAND 2047,MARKET 23,"870,863,400"
,,,,,BRAND 2048,MARKET 31,"870,250,024"
,,,,,BRAND 2049,MARKET 100,"870,191,383"
,,,,,BRAND 2050,MARKET 75,"870,061,451"
,,,,,BRAND 2051,MARKET 32,"868,591,942"
,,,,,BRAND 2052,MARKET 156,"868,492,297"
,,,,,BRAND 2053,MARKET 27,"865,382,285"
,,,,,BRAND 2054,MARKET 09,"865,102,680"
,,,,,BRAND 2055,MARKET 25,"864,782,318"
,,,,,BRAND 2056,MARKET 13,"864,475,676"
,,,,,BRAND 2057,MARKET 55,"862,867,329"
,,,,,BRAND 2058,MARKET 11,"862,609,154"
,,,,,BRAND 2059,MARKET 112,"862,244,464"
,,,,,BRAND 2060,MARKET 198,"860,849,858"
,,,,,BRAND 2061,MARKET 23,"860,628,789"
,,,,,BRAND 2062,MARKET 42,"860,537,646"
,,,,,BRAND 2063,MARKET 84,"858,953,579"
,,,,,BRAND 2064,MARKET 13,"858,822,123"
,,,,,BRAND 2065,MARKET 08,"858,763,296"
,,,,,BRAND 2066,MARKET 15,"857,202,214"
,,,,,BRAND 2067,MARKET 13,"856,158,722"
,,,,,BRAND 2068,MARKET 23,"855,846,570"
,,,,,BRAND 2069,MARKET 03,"855,124,475"
,,,,,BRAND 2070,MARKET 72,"854,998,653"
,,,,,BRAND 2071,MARKET 08,"854,679,256"
,,,,,BRAND 2072,MARKET 49,"853,963,613"
,,,,,BRAND 2073,MARKET 42,"853,858,040"
,,,,,BRAND 2074,MARKET 27,"853,498,845"
,,,,,BRAND 2075,MARKET 08,"853,276,135"
,,,,,BRAND 2076,MARKET 20,"853,016,091"
,,,,,BRAND 2077,MARKET 47,"852,800,604"
,,,,,BRAND 2078,MARKET 13,"852,678,435"
,,,,,BRAND 2079,MARKET 31,"852,564,960"
,,,,,BRAND 2080,MARKET 11,"852,275,944"
,,,,,BRAND 2081,MARKET 09,"852,227,167"
,,,,,BRAND 2082,MARKET 15,"850,712,464"
,,,,,BRAND 2083,MARKET 53,"850,274,012"
,,,,,BRAND 2084,MARKET 15,"848,556,534"
,,,,,BRAND 2085,MARKET 72,"848,266,962"
,,,,,BRAND 2086,MARKET 183,"848,109,785"
,,,,,BRAND 2087,MARKET 15,"846,539,925"
,,,,,BRAND 2088,MARKET 61,"845,923,914"
,,,,,BRAND 2089,MARKET 260,"845,656,203"
,,,,,BRAND 2090,MARKET 35,"844,885,683"
,,,,,BRAND 2091,MARKET 31,"844,715,814"
,,,,,BRAND 2092,MARKET 11,"844,133,697"
,,,,,BRAND 2093,MARKET 01,"843,993,477"
,,,,,BRAND 2094,MARKET 31,"842,211,922"
,,,,,BRAND 2095,MARKET 89,"842,205,998"
,,,,,BRAND 2096,MARKET 15,"841,320,544"
,,,,,BRAND 2097,MARKET 99,"841,182,737"
,,,,,BRAND 2099,MARKET 11,"839,907,511"
,,,,,BRAND 2100,MARKET 55,"839,865,019"
,,,,,BRAND 2101,MARKET 35,"839,363,530"
,,,,,BRAND 2102,MARKET 16,"838,992,193"
,,,,,BRAND 2103,MARKET 75,"838,442,013"
,,,,,BRAND 2104,MARKET 53,"838,246,128"
,,,,,BRAND 2105,MARKET 23,"838,019,480"
,,,,,BRAND 2106,MARKET 42,"837,997,095"
,,,,,BRAND 2107,MARKET 61,"837,468,828"
,,,,,BRAND 2108,MARKET 100,"834,292,549"
,,,,,BRAND 2109,MARKET 62,"833,258,166"
,,,,,BRAND 2110,MARKET 26,"832,324,691"
,,,,,BRAND 2111,MARKET 09,"830,804,132"
,,,,,BRAND 2112,MARKET 62,"830,770,745"
,,,,,BRAND 2113,MARKET 06,"830,233,116"
,,,,,BRAND 2114,MARKET 40,"830,211,577"
,,,,,BRAND 2115,MARKET 48,"830,186,040"
,,,,,BRAND 2116,MARKET 31,"829,645,209"
,,,,,BRAND 2117,MARKET 42,"829,634,859"
,,,,,BRAND 2118,MARKET 13,"829,366,514"
,,,,,BRAND 2119,MARKET 23,"829,340,069"
,,,,,BRAND 2120,MARKET 09,"828,914,814"
,,,,,BRAND 2122,MARKET 31,"827,987,324"
,,,,,BRAND 2123,MARKET 32,"827,591,290"
,,,,,BRAND 2124,MARKET 23,"827,470,905"
,,,,,BRAND 2125,MARKET 32,"827,240,174"
,,,,,BRAND 2126,MARKET 33,"827,210,346"
,,,,,BRAND 2127,MARKET 74,"826,981,879"
,,,,,BRAND 2128,MARKET 46,"826,907,476"
,,,,,BRAND 2129,MARKET 62,"826,361,674"
,,,,,BRAND 2130,MARKET 108,"824,418,399"
,,,,,BRAND 2131,MARKET 02,"824,369,483"
,,,,,BRAND 2132,MARKET 13,"824,106,943"
,,,,,BRAND 2133,MARKET 08,"823,950,685"
,,,,,BRAND 2134,MARKET 11,"823,832,160"
,,,,,BRAND 2135,MARKET 55,"823,470,086"
,,,,,BRAND 2136,MARKET 17,"822,212,168"
,,,,,BRAND 2137,MARKET 02,"821,791,424"
,,,,,BRAND 2138,MARKET 13,"821,603,591"
,,,,,BRAND 2139,MARKET 67,"821,051,482"
,,,,,BRAND 2140,MARKET 10,"819,895,708"
,,,,,BRAND 2141,MARKET 03,"819,516,756"
,,,,,BRAND 2142,MARKET 53,"819,473,643"
,,,,,BRAND 2143,MARKET 105,"819,097,389"
,,,,,BRAND 2144,MARKET 09,"818,048,236"
,,,,,BRAND 2145,MARKET 30,"817,938,602"
,,,,,BRAND 2146,MARKET 13,"817,800,683"
,,,,,BRAND 2147,MARKET 23,"815,613,090"
,,,,,BRAND 2149,MARKET 35,"814,779,082"
,,,,,BRAND 2150,MARKET 09,"814,261,218"
,,,,,BRAND 2151,MARKET 03,"813,369,269"
,,,,,BRAND 2152,MARKET 11,"813,008,218"
,,,,,BRAND 2153,MARKET 37,"812,836,424"
,,,,,BRAND 2154,MARKET 52,"811,802,849"
,,,,,BRAND 2155,MARKET 39,"811,773,151"
,,,,,BRAND 2156,MARKET 100,"811,759,421"
,,,,,BRAND 2157,MARKET 08,"810,122,135"
,,,,,BRAND 2158,MARKET 03,"809,791,770"
,,,,,BRAND 2159,MARKET 103,"636,527,601"
,,,,,BRAND 2160,MARKET 74,"172,886,848"
,,,,,BRAND 2161,MARKET 18,"809,224,845"
,,,,,BRAND 2162,MARKET 03,"809,201,138"
,,,,,BRAND 2163,MARKET 156,"809,071,805"
,,,,,BRAND 2164,MARKET 03,"808,592,089"
,,,,,BRAND 2165,MARKET 13,"807,350,150"
,,,,,BRAND 2166,MARKET 11,"807,144,237"
,,,,,BRAND 2167,MARKET 20,"806,980,665"
,,,,,BRAND 2168,MARKET 23,"806,758,704"
,,,,,BRAND 2169,MARKET 23,"806,657,995"
,,,,,BRAND 2170,MARKET 105,"806,055,748"
,,,,,BRAND 2171,MARKET 10,"805,857,420"
,,,,,BRAND 2172,MARKET 94,"803,995,911"
,,,,,BRAND 2173,MARKET 99,"802,946,537"
,,,,,BRAND 2174,MARKET 53,"801,407,102"
,,,,,BRAND 2175,MARKET 75,"801,245,471"
,,,,,BRAND 2176,MARKET 35,"801,025,673"
,,,,,BRAND 2177,MARKET 73,"800,337,366"
,,,,,BRAND 2178,MARKET 03,"800,297,608"
,,,,,BRAND 2179,MARKET 27,"800,256,508"
,,,,,BRAND 2180,MARKET 170,"800,089,161"
,,,,,BRAND 2181,MARKET 35,"799,655,385"
,,,,,BRAND 2182,MARKET 23,"799,654,880"
,,,,,BRAND 2183,MARKET 43,"799,067,558"
